target_item_name,target_canonical_key,source_name,source_canonical_key,source_type,source_kind,row_kind,raw_rate,base_drop_rate,source_page_type,source_page_name,source_page_url,page_data_url,target_item_id,target_item_image,source_image,iron_depot,manual_fishing,runecube,flags,notes,cache_file_name,parser_version
3-leaf Clover,3 leaf clover,Misty Forest,misty forest,explore,location,item_source,42.13658320626813,0.3333333333333333,item,3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,187,/img/items/8250.PNG,/img/items/mistforest.png,false,,true,,,3-leaf-clover__3-leaf-clover.json,buddy-item-multi-source-v1
3-leaf Clover,3 leaf clover,Misty Forest,misty forest,explore,location,item_source,42.14176236007354,0.3333333333333333,item,3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,187,/img/items/8250.PNG,/img/items/mistforest.png,true,,true,,,3-leaf-clover__3-leaf-clover.json,buddy-item-multi-source-v1
3-leaf Clover,3 leaf clover,Misty Forest,misty forest,explore,location,item_source,41.184278642945074,0.3333333333333333,item,3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,187,/img/items/8250.PNG,/img/items/mistforest.png,true,,false,,,3-leaf-clover__3-leaf-clover.json,buddy-item-multi-source-v1
3-leaf Clover,3 leaf clover,Misty Forest,misty forest,explore,location,item_source,41.201846886520634,0.3333333333333333,item,3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,187,/img/items/8250.PNG,/img/items/mistforest.png,false,,false,,,3-leaf-clover__3-leaf-clover.json,buddy-item-multi-source-v1
4-leaf Clover,4 leaf clover,Misty Forest,misty forest,explore,location,item_source,177.22221894032927,0.3333333333333333,item,4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,188,/img/items/fourleaf.png,/img/items/mistforest.png,false,,true,,,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1
4-leaf Clover,4 leaf clover,Misty Forest,misty forest,explore,location,item_source,177.23572528698895,0.3333333333333333,item,4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,188,/img/items/fourleaf.png,/img/items/mistforest.png,true,,true,,,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1
4-leaf Clover,4 leaf clover,Misty Forest,misty forest,explore,location,item_source,217.43242743736315,0.3333333333333333,item,4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,188,/img/items/fourleaf.png,/img/items/mistforest.png,true,,false,,,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1
4-leaf Clover,4 leaf clover,Misty Forest,misty forest,explore,location,item_source,217.52292147785073,0.3333333333333333,item,4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,188,/img/items/fourleaf.png,/img/items/mistforest.png,false,,false,,,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1
Acorn,acorn,Misty Forest,misty forest,explore,location,item_source,19.399181483869256,0.3333333333333333,item,Acorn,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,91,/img/items/5759.PNG,/img/items/mistforest.png,false,,true,,,acorn__acorn.json,buddy-item-multi-source-v1
Acorn,acorn,Misty Forest,misty forest,explore,location,item_source,19.400545142384804,0.3333333333333333,item,Acorn,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,91,/img/items/5759.PNG,/img/items/mistforest.png,true,,true,,,acorn__acorn.json,buddy-item-multi-source-v1
Acorn,acorn,Misty Forest,misty forest,explore,location,item_source,18.936351451108393,0.3333333333333333,item,Acorn,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,91,/img/items/5759.PNG,/img/items/mistforest.png,true,,false,,,acorn__acorn.json,buddy-item-multi-source-v1
Acorn,acorn,Misty Forest,misty forest,explore,location,item_source,18.937507361955987,0.3333333333333333,item,Acorn,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,91,/img/items/5759.PNG,/img/items/mistforest.png,false,,false,,,acorn__acorn.json,buddy-item-multi-source-v1
Amber,amber,Misty Forest,misty forest,explore,location,item_source,91019.41747572816,0.3333333333333333,item,Amber,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,244,/img/items/6675.png,/img/items/mistforest.png,false,,true,,,amber__amber.json,buddy-item-multi-source-v1
Amber,amber,Misty Forest,misty forest,explore,location,item_source,89498.80668257756,0.3333333333333333,item,Amber,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,244,/img/items/6675.png,/img/items/mistforest.png,true,,true,,,amber__amber.json,buddy-item-multi-source-v1
Amber,amber,Misty Forest,misty forest,explore,location,item_source,111940.29850746269,0.3333333333333333,item,Amber,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,244,/img/items/6675.png,/img/items/mistforest.png,true,,false,,,amber__amber.json,buddy-item-multi-source-v1
Amber,amber,Misty Forest,misty forest,explore,location,item_source,108892.92196007259,0.3333333333333333,item,Amber,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,244,/img/items/6675.png,/img/items/mistforest.png,false,,false,,,amber__amber.json,buddy-item-multi-source-v1
Amethyst,amethyst,Highland Hills,highland hills,explore,location,item_source,72.52448109187057,0.25,item,Amethyst,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,54,/img/items/amethyst.png,/img/items/hills.png,true,,true,,,amethyst__amethyst.json,buddy-item-multi-source-v1
Amethyst,amethyst,Highland Hills,highland hills,explore,location,item_source,96.53390198237194,0.25,item,Amethyst,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,54,/img/items/amethyst.png,/img/items/hills.png,false,,false,,,amethyst__amethyst.json,buddy-item-multi-source-v1
Amethyst,amethyst,Highland Hills,highland hills,explore,location,item_source,96.72547978860646,0.25,item,Amethyst,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,54,/img/items/amethyst.png,/img/items/hills.png,true,,false,,,amethyst__amethyst.json,buddy-item-multi-source-v1
Amethyst,amethyst,Highland Hills,highland hills,explore,location,item_source,72.58287240185072,0.25,item,Amethyst,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,54,/img/items/amethyst.png,/img/items/hills.png,false,,true,,,amethyst__amethyst.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Black Rock Canyon,black rock canyon,explore,location,item_source,268.0325605954611,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/canyon.png,false,,false,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Black Rock Canyon,black rock canyon,explore,location,item_source,267.94925041197195,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/canyon.png,true,,false,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Black Rock Canyon,black rock canyon,explore,location,item_source,229.27103275136702,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/canyon.png,false,,true,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Black Rock Canyon,black rock canyon,explore,location,item_source,229.12044479915684,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/canyon.png,true,,true,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Ember Lagoon,ember lagoon,explore,location,item_source,191.35728446153337,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/lagoon.png,false,,false,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Ember Lagoon,ember lagoon,explore,location,item_source,191.42712752109526,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/lagoon.png,true,,false,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Ember Lagoon,ember lagoon,explore,location,item_source,169.26239959918664,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/lagoon.png,true,,true,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Ancient Coin,ancient coin,Ember Lagoon,ember lagoon,explore,location,item_source,169.032368571699,0.3333333333333333,item,Ancient Coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,123,/img/items/6019.PNG,/img/items/lagoon.png,false,,true,,,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1
Antler,antler,Forest,forest,explore,location,item_source,49.368405306708624,0.3333333333333333,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/trees.png,false,,false,,,antler__antler.json,buddy-item-multi-source-v1
Antler,antler,Forest,forest,explore,location,item_source,49.406618280020574,0.3333333333333333,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/trees.png,true,,false,,,antler__antler.json,buddy-item-multi-source-v1
Antler,antler,Forest,forest,explore,location,item_source,41.30029291544412,0.3333333333333333,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/trees.png,false,,true,,,antler__antler.json,buddy-item-multi-source-v1
Antler,antler,Santa's Workshop,santa s workshop,explore,location,item_source,93.85256294143946,0.42857143,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/santa_ws.png,true,,true,,,antler__antler.json,buddy-item-multi-source-v1
Antler,antler,Santa's Workshop,santa s workshop,explore,location,item_source,136.97145117078634,0.42857143,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/santa_ws.png,false,,false,,,antler__antler.json,buddy-item-multi-source-v1
Antler,antler,Santa's Workshop,santa s workshop,explore,location,item_source,113.58073451146845,0.42857143,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/santa_ws.png,true,,false,,,antler__antler.json,buddy-item-multi-source-v1
Antler,antler,Santa's Workshop,santa s workshop,explore,location,item_source,112.73938963967956,0.42857143,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/santa_ws.png,false,,true,,,antler__antler.json,buddy-item-multi-source-v1
Antler,antler,Forest,forest,explore,location,item_source,41.327579615860145,0.3333333333333333,item,Antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,170,/img/items/5922.png,/img/items/trees.png,true,,true,,,antler__antler.json,buddy-item-multi-source-v1
Apple,apple,Small Spring,small spring,explore,location,item_source,84.68846641890585,0.3333333333333333,item,Apple,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,44,/img/items/8297.png,/img/items/spring.png,false,,false,,,apple__apple.json,buddy-item-multi-source-v1
Apple,apple,Small Spring,small spring,explore,location,item_source,71.95559476335964,0.3333333333333333,item,Apple,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,44,/img/items/8297.png,/img/items/spring.png,false,,true,,,apple__apple.json,buddy-item-multi-source-v1
