quest_key,reward_type,item_name,canonical_key,quantity,source_url,notes
"1,000,000 farmers i",item,Apple,apple,50,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551513; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers i",item,Event Token,event token,25,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551513; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers i",item,Mealworms,mealworms,50,https://buddy.farm/i/mealworms/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/mealworms/; Page data: https://buddy.farm/page-data/i/mealworms/page-data.json; Cache: mealworms__mealworms.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551513; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ii",item,Apple Cider,apple cider,50,https://buddy.farm/i/apple-cider/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple-cider/; Page data: https://buddy.farm/page-data/i/apple-cider/page-data.json; Cache: apple-cider__apple-cider.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551514; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ii",item,Event Token,event token,50,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551514; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ii",item,Fishing Net,fishing net,50,https://buddy.farm/i/fishing-net/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fishing-net/; Page data: https://buddy.farm/page-data/i/fishing-net/page-data.json; Cache: fishing-net__fishing-net.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551514; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ii",item,Orange Juice,orange juice,25,https://buddy.farm/i/orange-juice/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange-juice/; Page data: https://buddy.farm/page-data/i/orange-juice/page-data.json; Cache: orange-juice__orange-juice.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551514; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ii",item,Shrimp-a-Plenty,shrimp-a-plenty,2,https://buddy.farm/i/shrimp-a-plenty/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/shrimp-a-plenty/; Page data: https://buddy.farm/page-data/i/shrimp-a-plenty/page-data.json; Cache: shrimp-a-plenty__shrimp-a-plenty.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551514; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ii",item,Void Bag 01,void bag 01,5,https://buddy.farm/i/void-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/void-bag-01/; Page data: https://buddy.farm/page-data/i/void-bag-01/page-data.json; Cache: void-bag-01__void-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551514; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iii",item,Arnold Palmer,arnold palmer,50,https://buddy.farm/i/arnold-palmer/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/arnold-palmer/; Page data: https://buddy.farm/page-data/i/arnold-palmer/page-data.json; Cache: arnold-palmer__arnold-palmer.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551515; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iii",item,Event Token,event token,75,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551515; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iii",item,Large Net,large net,50,https://buddy.farm/i/large-net/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/large-net/; Page data: https://buddy.farm/page-data/i/large-net/page-data.json; Cache: large-net__large-net.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551515; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iii",item,Onion Soup,onion soup,2,https://buddy.farm/i/onion-soup/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/onion-soup/; Page data: https://buddy.farm/page-data/i/onion-soup/page-data.json; Cache: onion-soup__onion-soup.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551515; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iii",item,Void Bag 01,void bag 01,10,https://buddy.farm/i/void-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/void-bag-01/; Page data: https://buddy.farm/page-data/i/void-bag-01/page-data.json; Cache: void-bag-01__void-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551515; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iv",item,Event Token,event token,100,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551516; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iv",item,Grab Bag 07,grab bag 07,50,https://buddy.farm/i/grab-bag-07/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/grab-bag-07/; Page data: https://buddy.farm/page-data/i/grab-bag-07/page-data.json; Cache: grab-bag-07__grab-bag-07.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551516; Quest end date: 2025-12-06T05:59:59+00:00
